UUID: f08c55e0-31af-4d4f-abce-20a7e807dae6
NEW CROP, APPLE, amount: 853kg, in week: 22
PRODUCT HAS BEEN PURCHASED, Biofuel, amount: 10kg, shop price: 579.0 in week:16 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, Biofuel, amount: 8kg, shop price: 579.0 in week:17 by customer badcc8d5-3fb3-43c3-b658-beb8dea5a912
PRODUCT HAS BEEN PURCHASED, Biofuel, amount: 5kg, shop price: 579.0 in week:17 by customer 61016f7e-f5fd-477d-b2f4-e220c26fc03c
PRODUCT WAS SOLD OUT, in week:17


UUID: c571fb99-7330-4695-9f9d-ecb158419a15
NEW CROP, SUGARBEAT, amount: 332kg, in week: 10


UUID: a5941778-2bd7-4114-a3af-b734e6074c8b
NEW CROP, PEAR, amount: 538kg, in week: 12


UUID: be9dedef-e63e-4d26-ba6d-799067e6d648
NEW CROP, RYE, amount: 271kg, in week: 10


UUID: 255fde69-1661-4194-bcb3-11ac026d6d8c
NEW CROP, ONION, amount: 969kg, in week: 9


UUID: 03b987b3-7011-423b-83ce-a5750799b13f
NEW CROP, OILSEED, amount: 936kg, in week: 11
CROP HAS BEEN HARVESTED IN WEEK: 19 by ac950e3d-7a33-424b-877c-d982854da92e
CROPT HAS BEEN SHIPPED, OILSEED, amount: 936kg, in week:20
NEW PRODUCT, Oilseed oil, amount: 702kg, shop price: 44.0 in week:20 by552d2f59-9890-48e8-bbae-07b56d4f926f
PRODUCT HAS BEEN SHIPPED, Oilseed oil, shop price: 44.0 in week:21
PRODUCT HAS BEEN PURCHASED, Oilseed oil, amount: 12kg, shop price: 44.0 in week:21 by customer badcc8d5-3fb3-43c3-b658-beb8dea5a912
PRODUCT HAS BEEN PURCHASED, Oilseed oil, amount: 8kg, shop price: 44.0 in week:21 by customer 51f1e967-36db-4b75-a6e9-fb1fb517f30c
PRODUCT HAS BEEN PURCHASED, Oilseed oil, amount: 10kg, shop price: 44.0 in week:21 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, Oilseed oil, amount: 11kg, shop price: 44.0 in week:23 by customer 7dfafab9-eeba-4dca-bf4c-d29d55b2f7ac
PRODUCT HAS BEEN PURCHASED, Oilseed oil, amount: 10kg, shop price: 44.0 in week:23 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, Oilseed oil, amount: 6kg, shop price: 44.0 in week:24 by customer 51f1e967-36db-4b75-a6e9-fb1fb517f30c
PRODUCT HAS BEEN PURCHASED, Oilseed oil, amount: 10kg, shop price: 44.0 in week:24 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, Oilseed oil, amount: 11kg, shop price: 44.0 in week:25 by customer badcc8d5-3fb3-43c3-b658-beb8dea5a912
PRODUCT HAS BEEN PURCHASED, Oilseed oil, amount: 11kg, shop price: 44.0 in week:25 by customer 51f1e967-36db-4b75-a6e9-fb1fb517f30c
THE REST OF PRODUCT WAS SPOILED, in week:26


UUID: 7a95e875-7fdc-4c52-869b-937c4c39028e
NEW CROP, CUCCUMBER, amount: 509kg, in week: 10


UUID: 54d801b2-342c-47a4-b9fa-fec4de065d9a
NEW CROP, OILSEED, amount: 160kg, in week: 1
CROPT HAS BEEN SHIPPED, OILSEED, amount: 160kg, in week:1
NEW PRODUCT, Biofuel, amount: 24kg, shop price: 549.0 in week:1 by7efd85f5-9614-436e-a024-da9b68cfb3c9
PRODUCT HAS BEEN SHIPPED, Biofuel, shop price: 549.0 in week:2
PRODUCT HAS BEEN PURCHASED, Biofuel, amount: 5kg, shop price: 549.0 in week:2 by customer 52a1045c-9cd3-4a91-867b-831791e74768
PRODUCT HAS BEEN PURCHASED, Biofuel, amount: 10kg, shop price: 549.0 in week:2 by customer ef0b3a8e-86be-44ed-8bac-66453f6ca9d3
PRODUCT HAS BEEN PURCHASED, Biofuel, amount: 10kg, shop price: 549.0 in week:2 by customer 6b5179ae-f789-4a31-80fd-19c4ec1e05dc
PRODUCT HAS BEEN PURCHASED, Biofuel, amount: 10kg, shop price: 549.0 in week:2 by customer 924b4385-d34d-4643-9297-9ba437fd4c02
PRODUCT HAS BEEN PURCHASED, Biofuel, amount: 5kg, shop price: 549.0 in week:2 by customer c7e15212-99f8-4da3-9e16-0ad6e285a6cd
PRODUCT WAS SOLD OUT, in week:2


UUID: c7c2a6dc-b0e3-4559-9257-3348247a8b81
NEW CROP, SALAD, amount: 881kg, in week: 3


UUID: b6a16998-05cd-4ba7-865d-9edf83aa983b
NEW CROP, ONION, amount: 784kg, in week: 6


UUID: a7ab05ac-3250-417e-ba5b-64af635212cf
NEW CROP, SALAD, amount: 397kg, in week: 29


UUID: fd845a6f-8def-4dad-8f38-f753fd133490
NEW CROP, SUGARBEAT, amount: 662kg, in week: 1
CROP HAS BEEN HARVESTED IN WEEK: 8 by 8050f987-9e17-4bb9-92a6-b747df3a28a0
CROPT HAS BEEN SHIPPED, SUGARBEAT, amount: 662kg, in week:9
NEW PRODUCT, Suggar, amount: 430kg, shop price: 42.55 in week:9 by246f879d-c043-4190-aa4d-ea7db6b26bd7
PRODUCT HAS BEEN SHIPPED, Suggar, shop price: 42.55 in week:10
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 10kg, shop price: 42.55 in week:10 by customer 082ba35f-8675-4a65-88ce-aa19d2dbd43f
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 10kg, shop price: 42.55 in week:10 by customer ef0b3a8e-86be-44ed-8bac-66453f6ca9d3
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 10kg, shop price: 42.55 in week:10 by customer 35ece140-dc29-4f03-a63e-cf09d1c78a17
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 10kg, shop price: 42.55 in week:10 by customer 6b5179ae-f789-4a31-80fd-19c4ec1e05dc
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 10kg, shop price: 42.55 in week:10 by customer 35f9d570-d8b4-40c3-a05b-b6cb9ea54188
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 10kg, shop price: 42.55 in week:10 by customer bfdbaf7f-c4d0-4020-a958-633f17884b58
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 10kg, shop price: 42.55 in week:10 by customer 055581db-2768-4be0-ba96-6cfab6d123e5
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 10kg, shop price: 42.55 in week:10 by customer 4e1b3141-7331-4e78-bcca-02aa6f414e98
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 10kg, shop price: 42.55 in week:10 by customer fff3c27d-c704-4699-af81-c3c77e29e9ff
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 10kg, shop price: 42.55 in week:10 by customer 7e4211da-30b8-48c3-9907-9b1df35caea9
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 10kg, shop price: 42.55 in week:10 by customer 583530f2-9e84-4ad3-8bbd-ec09396c822f
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 10kg, shop price: 42.55 in week:10 by customer d040dc0d-8ec7-4906-abe6-7128a798958e
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 10kg, shop price: 42.55 in week:10 by customer 3622256c-8bd9-41cb-80fe-f38da25ec700
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 7kg, shop price: 42.55 in week:10 by customer eff3ce08-55db-4747-8da3-0f1e6bc44b13
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 10kg, shop price: 42.55 in week:10 by customer 28e44809-f166-45fa-adfc-29125cd8e8f4
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 7kg, shop price: 42.55 in week:10 by customer 5e4145b8-ad1b-4c57-8409-faafd655f5d7
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 10kg, shop price: 42.55 in week:10 by customer 5c886aa9-dd78-4515-a489-7727f1cae832
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 10kg, shop price: 42.55 in week:10 by customer 28b92b4f-0a6f-45ca-8c8c-388f94ce3b5f
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 5kg, shop price: 42.55 in week:10 by customer ca41c9b0-2922-4b46-bf2e-6ec1e78f60c5
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 10kg, shop price: 42.55 in week:10 by customer 84839e6e-3c16-4b13-86c2-e56ec3069e54
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 10kg, shop price: 42.55 in week:10 by customer 4ff679cd-d91c-4067-a41c-31bbe4dd84f1
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 12kg, shop price: 42.55 in week:10 by customer f82cdaa3-f8b7-4bc9-8399-460d2f54c0db
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 13kg, shop price: 42.55 in week:10 by customer 33636cf1-6ccc-4a25-8595-f70ffcc1e793
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 10kg, shop price: 42.55 in week:10 by customer c21862bf-5a41-408f-8cd6-4f4ea9c90351
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 10kg, shop price: 42.55 in week:10 by customer 51de2388-15dd-46a6-a4d0-a7eef0e64c4a
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 10kg, shop price: 42.55 in week:10 by customer bb518bb2-867b-42b9-b5a4-cc261e5fbff6
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 9kg, shop price: 42.55 in week:10 by customer 9ab21551-8aec-43e4-a431-f69545f45a22
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 7kg, shop price: 42.55 in week:10 by customer 3cfb81a3-83fb-4956-8b5f-6f8c0ed6018d
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 10kg, shop price: 42.55 in week:10 by customer 0a619eb9-3041-432a-b8af-10cc50dce9bc
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 10kg, shop price: 42.55 in week:10 by customer c2a3aa33-50da-4021-99a5-8af57b888bce
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 10kg, shop price: 42.55 in week:10 by customer bad2d321-6d22-47db-bb23-0d183810adaa
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 7kg, shop price: 42.55 in week:10 by customer 5aa745bd-ec55-4ca8-8abb-05be2b158212
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 10kg, shop price: 42.55 in week:10 by customer 689d78ac-5b1b-4c52-a685-c0b90e64c996


UUID: 18bd14a8-d855-4832-8f3c-16ef1f2bb4cb
NEW CROP, SUGARBEAT, amount: 527kg, in week: 2


UUID: 1329e296-a289-44aa-bae6-c189d004bab5
NEW CROP, CORN, amount: 996kg, in week: 12


UUID: 2bded8fd-e2e9-45b6-837c-9d92e43be8eb
NEW CROP, CHERRIES, amount: 107kg, in week: 24


UUID: a331909c-41b1-47be-9f5b-82d2d9a50fca
NEW CROP, BEAN, amount: 787kg, in week: 5


UUID: 971d3e73-1cb1-435d-abb7-5d65f3d9f5ce
NEW CROP, CORN, amount: 659kg, in week: 11
CROPT HAS BEEN SHIPPED, CORN, amount: 659kg, in week:11
NEW PRODUCT, Corn can, amount: 263kg, shop price: 43.0 in week:11 by7e13ae06-9ac1-426f-bc58-1726e61d33e5
PRODUCT HAS BEEN SHIPPED, Corn can, shop price: 43.0 in week:12
PRODUCT HAS BEEN PURCHASED, Corn can, amount: 10kg, shop price: 43.0 in week:12 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, Corn can, amount: 10kg, shop price: 43.0 in week:13 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, Corn can, amount: 12kg, shop price: 43.0 in week:14 by customer badcc8d5-3fb3-43c3-b658-beb8dea5a912
PRODUCT HAS BEEN PURCHASED, Corn can, amount: 10kg, shop price: 43.0 in week:14 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, Corn can, amount: 10kg, shop price: 43.0 in week:15 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, Corn can, amount: 10kg, shop price: 43.0 in week:17 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
THE REST OF PRODUCT WAS SPOILED, in week:17


UUID: 3e3ab06b-c2cb-49b4-aa85-ea854b525434
NEW CROP, PEAR, amount: 999kg, in week: 2


UUID: 6859bb97-fdbb-4457-aac3-247f4ed3c405
NEW CROP, CHERRIES, amount: 581kg, in week: 20
CROP HAS BEEN HARVESTED IN WEEK: 23 by bb788b93-b043-416b-88c0-8fc015dc3e31
CROPT HAS BEEN SHIPPED, CHERRIES, amount: 581kg, in week:24
NEW PRODUCT, CHERRIEScompote, amount: 493kg, shop price: 75.0 in week:24 by552d2f59-9890-48e8-bbae-07b56d4f926f
PRODUCT HAS BEEN SHIPPED, CHERRIEScompote, shop price: 75.0 in week:25
PRODUCT HAS BEEN PURCHASED, CHERRIEScompote, amount: 14kg, shop price: 75.0 in week:25 by customer badcc8d5-3fb3-43c3-b658-beb8dea5a912
PRODUCT HAS BEEN PURCHASED, CHERRIEScompote, amount: 10kg, shop price: 75.0 in week:25 by customer 7dfafab9-eeba-4dca-bf4c-d29d55b2f7ac
PRODUCT HAS BEEN PURCHASED, CHERRIEScompote, amount: 10kg, shop price: 75.0 in week:27 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, CHERRIEScompote, amount: 10kg, shop price: 75.0 in week:28 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, CHERRIEScompote, amount: 11kg, shop price: 75.0 in week:29 by customer 51f1e967-36db-4b75-a6e9-fb1fb517f30c
PRODUCT HAS BEEN PURCHASED, CHERRIEScompote, amount: 10kg, shop price: 75.0 in week:29 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, CHERRIEScompote, amount: 10kg, shop price: 75.0 in week:30 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
THE REST OF PRODUCT WAS SPOILED, in week:30


UUID: 1a63c437-ffd9-4a9b-b7d8-7f80ab6b866f
NEW CROP, GRAPEVINE, amount: 840kg, in week: 16
CROP HAS BEEN HARVESTED IN WEEK: 23 by bb788b93-b043-416b-88c0-8fc015dc3e31
CROPT HAS BEEN SHIPPED, GRAPEVINE, amount: 840kg, in week:24
NEW PRODUCT, GRAPEVINE, amount: 840kg, shop price: 68.6 in week:24 by552d2f59-9890-48e8-bbae-07b56d4f926f
PRODUCT HAS BEEN SHIPPED, GRAPEVINE, shop price: 68.6 in week:25
PRODUCT HAS BEEN PURCHASED, GRAPEVINE, amount: 12kg, shop price: 68.6 in week:25 by customer badcc8d5-3fb3-43c3-b658-beb8dea5a912
PRODUCT HAS BEEN PURCHASED, GRAPEVINE, amount: 14kg, shop price: 68.6 in week:27 by customer 51f1e967-36db-4b75-a6e9-fb1fb517f30c
PRODUCT HAS BEEN PURCHASED, GRAPEVINE, amount: 10kg, shop price: 68.6 in week:27 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, GRAPEVINE, amount: 9kg, shop price: 68.6 in week:28 by customer 7dfafab9-eeba-4dca-bf4c-d29d55b2f7ac
PRODUCT HAS BEEN PURCHASED, GRAPEVINE, amount: 10kg, shop price: 68.6 in week:28 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, GRAPEVINE, amount: 6kg, shop price: 68.6 in week:29 by customer 51f1e967-36db-4b75-a6e9-fb1fb517f30c
PRODUCT HAS BEEN PURCHASED, GRAPEVINE, amount: 10kg, shop price: 68.6 in week:29 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, GRAPEVINE, amount: 13kg, shop price: 68.6 in week:30 by customer badcc8d5-3fb3-43c3-b658-beb8dea5a912
PRODUCT HAS BEEN PURCHASED, GRAPEVINE, amount: 10kg, shop price: 68.6 in week:30 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
THE REST OF PRODUCT WAS SPOILED, in week:30


UUID: ac035341-4367-495e-8999-55c38b3a2856
NEW CROP, WHEET, amount: 286kg, in week: 19
CROP HAS BEEN HARVESTED IN WEEK: 25 by 1a6111ef-fb73-4928-bb4b-404e31c01ef4
CROPT HAS BEEN SHIPPED, WHEET, amount: 286kg, in week:26
NEW PRODUCT, Coarse flour, amount: 114kg, shop price: 27.0 in week:26 by552d2f59-9890-48e8-bbae-07b56d4f926f
PRODUCT HAS BEEN SHIPPED, Coarse flour, shop price: 27.0 in week:27
PRODUCT HAS BEEN PURCHASED, Coarse flour, amount: 8kg, shop price: 27.0 in week:27 by customer badcc8d5-3fb3-43c3-b658-beb8dea5a912
PRODUCT HAS BEEN PURCHASED, Coarse flour, amount: 9kg, shop price: 27.0 in week:28 by customer 51f1e967-36db-4b75-a6e9-fb1fb517f30c
PRODUCT HAS BEEN PURCHASED, Coarse flour, amount: 15kg, shop price: 27.0 in week:29 by customer badcc8d5-3fb3-43c3-b658-beb8dea5a912
PRODUCT HAS BEEN PURCHASED, Coarse flour, amount: 14kg, shop price: 27.0 in week:29 by customer 7dfafab9-eeba-4dca-bf4c-d29d55b2f7ac
PRODUCT HAS BEEN PURCHASED, Coarse flour, amount: 12kg, shop price: 27.0 in week:30 by customer 51f1e967-36db-4b75-a6e9-fb1fb517f30c


UUID: dd04a97d-8b41-43cb-a4e7-6aba37ca3f2b
NEW CROP, POPPY, amount: 652kg, in week: 5


UUID: bc7aa270-818b-4735-9bfd-f5f45fae375c
NEW CROP, LENTIL, amount: 906kg, in week: 9


UUID: b8ffa0d9-fb42-489c-af4f-80e51ccd2ed0
NEW CROP, POTATO, amount: 458kg, in week: 24


UUID: 498c03b2-14d2-4779-9b5f-b0c502338a6c
NEW CROP, HEMP, amount: 564kg, in week: 11
CROP HAS BEEN HARVESTED IN WEEK: 19 by 1a6111ef-fb73-4928-bb4b-404e31c01ef4
CROPT HAS BEEN SHIPPED, HEMP, amount: 564kg, in week:20
NEW PRODUCT, Hemp Tea, amount: 112kg, shop price: 151.0 in week:20 by552d2f59-9890-48e8-bbae-07b56d4f926f
PRODUCT HAS BEEN SHIPPED, Hemp Tea, shop price: 151.0 in week:21
PRODUCT HAS BEEN PURCHASED, Hemp Tea, amount: 8kg, shop price: 151.0 in week:21 by customer badcc8d5-3fb3-43c3-b658-beb8dea5a912
PRODUCT HAS BEEN PURCHASED, Hemp Tea, amount: 15kg, shop price: 151.0 in week:21 by customer 51f1e967-36db-4b75-a6e9-fb1fb517f30c
PRODUCT HAS BEEN PURCHASED, Hemp Tea, amount: 10kg, shop price: 151.0 in week:21 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, Hemp Tea, amount: 14kg, shop price: 151.0 in week:23 by customer 7dfafab9-eeba-4dca-bf4c-d29d55b2f7ac
PRODUCT HAS BEEN PURCHASED, Hemp Tea, amount: 10kg, shop price: 151.0 in week:23 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, Hemp Tea, amount: 10kg, shop price: 151.0 in week:24 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, Hemp Tea, amount: 10kg, shop price: 151.0 in week:25 by customer 7dfafab9-eeba-4dca-bf4c-d29d55b2f7ac
THE REST OF PRODUCT WAS SPOILED, in week:26


UUID: b86dea26-8c69-4440-8b9e-31c76b99f9f3
NEW CROP, OILSEED, amount: 136kg, in week: 13


UUID: 6238cfb0-6a46-4a4c-a5e1-20c56f7d4d89
NEW CROP, SUNFLOWER, amount: 122kg, in week: 15


UUID: 46dc6377-5e7b-4f98-a150-27910d05e9d8
NEW CROP, OILSEED, amount: 310kg, in week: 11
CROP HAS BEEN HARVESTED IN WEEK: 14 by d7a60a24-9c81-4de4-8b6f-8eb7359f8ee9
CROPT HAS BEEN SHIPPED, OILSEED, amount: 310kg, in week:15
NEW PRODUCT, Oilseed oil, amount: 232kg, shop price: 40.0 in week:15 by552d2f59-9890-48e8-bbae-07b56d4f926f
PRODUCT HAS BEEN SHIPPED, Oilseed oil, shop price: 40.0 in week:16
PRODUCT HAS BEEN PURCHASED, Oilseed oil, amount: 10kg, shop price: 40.0 in week:17 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, Oilseed oil, amount: 12kg, shop price: 40.0 in week:18 by customer badcc8d5-3fb3-43c3-b658-beb8dea5a912
PRODUCT HAS BEEN PURCHASED, Oilseed oil, amount: 9kg, shop price: 40.0 in week:20 by customer badcc8d5-3fb3-43c3-b658-beb8dea5a912
PRODUCT HAS BEEN PURCHASED, Oilseed oil, amount: 15kg, shop price: 40.0 in week:20 by customer 7dfafab9-eeba-4dca-bf4c-d29d55b2f7ac
THE REST OF PRODUCT WAS SPOILED, in week:21


UUID: 9ce4e371-6409-4ad9-b39b-f9fd44005174
NEW CROP, CUCCUMBER, amount: 480kg, in week: 8


UUID: 9325f6bd-4ee3-4c60-9e4a-f9f3a7ba6942
NEW CROP, BARLEY, amount: 563kg, in week: 10


UUID: 5826e4ca-4b33-4d60-aea9-2070d5d34fef
NEW CROP, OILSEED, amount: 827kg, in week: 11
CROP HAS BEEN HARVESTED IN WEEK: 16 by 742fea40-3a9a-4ef4-b669-e2011e8cbc94
CROPT HAS BEEN SHIPPED, OILSEED, amount: 827kg, in week:17
NEW PRODUCT, Oilseed oil, amount: 620kg, shop price: 58.0 in week:17 by7e13ae06-9ac1-426f-bc58-1726e61d33e5
PRODUCT HAS BEEN SHIPPED, Oilseed oil, shop price: 58.0 in week:18
PRODUCT HAS BEEN PURCHASED, Oilseed oil, amount: 7kg, shop price: 58.0 in week:18 by customer 51f1e967-36db-4b75-a6e9-fb1fb517f30c
PRODUCT HAS BEEN PURCHASED, Oilseed oil, amount: 9kg, shop price: 58.0 in week:18 by customer 7dfafab9-eeba-4dca-bf4c-d29d55b2f7ac
PRODUCT HAS BEEN PURCHASED, Oilseed oil, amount: 10kg, shop price: 58.0 in week:18 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, Oilseed oil, amount: 10kg, shop price: 58.0 in week:19 by customer badcc8d5-3fb3-43c3-b658-beb8dea5a912
PRODUCT HAS BEEN PURCHASED, Oilseed oil, amount: 5kg, shop price: 58.0 in week:19 by customer 7dfafab9-eeba-4dca-bf4c-d29d55b2f7ac
PRODUCT HAS BEEN PURCHASED, Oilseed oil, amount: 10kg, shop price: 58.0 in week:19 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, Oilseed oil, amount: 10kg, shop price: 58.0 in week:20 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, Oilseed oil, amount: 6kg, shop price: 58.0 in week:21 by customer badcc8d5-3fb3-43c3-b658-beb8dea5a912
PRODUCT HAS BEEN PURCHASED, Oilseed oil, amount: 10kg, shop price: 58.0 in week:21 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, Oilseed oil, amount: 13kg, shop price: 58.0 in week:23 by customer badcc8d5-3fb3-43c3-b658-beb8dea5a912
PRODUCT HAS BEEN PURCHASED, Oilseed oil, amount: 10kg, shop price: 58.0 in week:23 by customer 7dfafab9-eeba-4dca-bf4c-d29d55b2f7ac
PRODUCT HAS BEEN PURCHASED, Oilseed oil, amount: 10kg, shop price: 58.0 in week:23 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
THE REST OF PRODUCT WAS SPOILED, in week:23


UUID: f38744fb-70c3-41e7-9624-d981607fe3d9
NEW CROP, BEAN, amount: 999kg, in week: 8
CROP HAS BEEN HARVESTED IN WEEK: 9 by 8050f987-9e17-4bb9-92a6-b747df3a28a0
CROPT HAS BEEN SHIPPED, BEAN, amount: 999kg, in week:10
NEW PRODUCT, RawBEAN, amount: 999kg, shop price: 12.0 in week:10 by246f879d-c043-4190-aa4d-ea7db6b26bd7


UUID: a2e6306e-49fb-4643-9388-68f9810d712d
NEW CROP, BEAN, amount: 956kg, in week: 6


UUID: 3aa610e8-73e9-4bbf-9ecb-c62e2f3eafa1
NEW CROP, PEAR, amount: 692kg, in week: 13
CROP HAS BEEN HARVESTED IN WEEK: 23 by d7a60a24-9c81-4de4-8b6f-8eb7359f8ee9
CROPT HAS BEEN SHIPPED, PEAR, amount: 692kg, in week:24
NEW PRODUCT, PEARjuice, amount: 588l, shop price: 119.69 in week:24 by552d2f59-9890-48e8-bbae-07b56d4f926f
PRODUCT HAS BEEN SHIPPED, PEARjuice, shop price: 119.69 in week:25
PRODUCT HAS BEEN PURCHASED, PEARjuice, amount: 11l, shop price: 119.69 in week:25 by customer badcc8d5-3fb3-43c3-b658-beb8dea5a912
PRODUCT HAS BEEN PURCHASED, PEARjuice, amount: 6l, shop price: 119.69 in week:25 by customer 51f1e967-36db-4b75-a6e9-fb1fb517f30c
PRODUCT HAS BEEN PURCHASED, PEARjuice, amount: 10l, shop price: 119.69 in week:27 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, PEARjuice, amount: 12l, shop price: 119.69 in week:28 by customer badcc8d5-3fb3-43c3-b658-beb8dea5a912
PRODUCT HAS BEEN PURCHASED, PEARjuice, amount: 15l, shop price: 119.69 in week:28 by customer 7dfafab9-eeba-4dca-bf4c-d29d55b2f7ac
PRODUCT HAS BEEN PURCHASED, PEARjuice, amount: 10l, shop price: 119.69 in week:28 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, PEARjuice, amount: 10l, shop price: 119.69 in week:29 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, PEARjuice, amount: 12l, shop price: 119.69 in week:30 by customer badcc8d5-3fb3-43c3-b658-beb8dea5a912
PRODUCT HAS BEEN PURCHASED, PEARjuice, amount: 10l, shop price: 119.69 in week:30 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
THE REST OF PRODUCT WAS SPOILED, in week:30


UUID: 0405302a-6ad4-4d5f-a661-c43d795f66ca
NEW CROP, SUGARBEAT, amount: 110kg, in week: 11
CROP HAS BEEN HARVESTED IN WEEK: 15 by bb788b93-b043-416b-88c0-8fc015dc3e31
CROPT HAS BEEN SHIPPED, SUGARBEAT, amount: 110kg, in week:16
NEW PRODUCT, Suggar, amount: 71kg, shop price: 42.55 in week:16 by552d2f59-9890-48e8-bbae-07b56d4f926f
PRODUCT HAS BEEN SHIPPED, Suggar, shop price: 42.55 in week:17
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 10kg, shop price: 42.55 in week:17 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 10kg, shop price: 42.55 in week:18 by customer badcc8d5-3fb3-43c3-b658-beb8dea5a912
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 9kg, shop price: 42.55 in week:20 by customer 7dfafab9-eeba-4dca-bf4c-d29d55b2f7ac
PRODUCT HAS BEEN PURCHASED, Suggar, amount: 9kg, shop price: 42.55 in week:21 by customer 7dfafab9-eeba-4dca-bf4c-d29d55b2f7ac
